customer_id,risk_segment,churn_probability,likely_drivers,recommended_action,retention_priority
7590-VHVEG,medium,0.6662,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
5575-GNVDE,low,0.0421,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3668-QPYBK,medium,0.5153,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
7795-CFOCW,low,0.0374,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
9237-HQITU,medium,0.6338,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
9305-CDSKC,high,0.8394,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
1452-KIOVK,medium,0.4845,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
6713-OKOMC,low,0.2231,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7892-POOKP,medium,0.5643,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
6388-TABGU,low,0.0443,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
9763-GRSKD,low,0.2244,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7469-LKBCI,low,0.0092,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
8091-TTVAX,low,0.1461,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0280-XJGEX,medium,0.4065,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
5129-JLPIS,medium,0.5554,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
3655-SNQYZ,low,0.1049,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
8191-XWSZG,low,0.0239,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
9959-WOFKT,low,0.0738,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4190-MFLUW,low,0.1554,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4183-MYFRB,medium,0.5348,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
8779-QRDMV,high,0.7536,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
1680-VDCWW,low,0.0493,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
1066-JKSGK,low,0.3424,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3638-WEABW,low,0.0318,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6322-HRPFA,low,0.0998,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6865-JZNKO,low,0.1553,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6467-CHFZW,medium,0.5852,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
8665-UTDHZ,medium,0.5823,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
5248-YGIJN,low,0.0076,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
8773-HHUOZ,low,0.2382,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3841-NFECX,low,0.0260,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4929-XIHVW,high,0.7281,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
6827-IEAUQ,low,0.0334,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7310-EGVHZ,low,0.2750,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3413-BMNZE,medium,0.6232,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
6234-RAAPL,low,0.0150,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6047-YHPVI,medium,0.6136,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
6572-ADKRS,low,0.2140,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
5380-WJKOV,medium,0.4866,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
8168-UQWWF,high,0.7343,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
8865-TNMNX,low,0.1236,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
9489-DEDVP,low,0.0414,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
9867-JCZSP,low,0.0316,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4671-VJLCL,low,0.0181,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4080-IIARD,low,0.2460,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3714-NTNFO,medium,0.4516,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
5948-UJZLF,medium,0.4800,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
7760-OYPDY,high,0.7200,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
7639-LIAYI,low,0.0271,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2954-PIBKO,low,0.0155,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
8012-SOUDQ,medium,0.4805,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
9420-LOJKX,medium,0.6401,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
6575-SUVOI,low,0.1456,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7495-OOKFY,medium,0.6890,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
4667-QONEA,low,0.0460,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
1658-BYGOY,medium,0.6909,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
8769-KKTPH,low,0.1757,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
5067-XJQFU,low,0.2764,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3957-SQXML,low,0.0155,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
5954-BDFSG,low,0.0417,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0434-CSFON,medium,0.5256,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
1215-FIGMP,low,0.2534,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0526-SXDJP,low,0.0085,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0557-ASKVU,low,0.0962,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
5698-BQJOH,medium,0.6819,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
5122-CYFXA,medium,0.5014,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
8627-ZYGSZ,low,0.1859,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3410-YOQBQ,low,0.0283,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3170-NMYVV,low,0.0148,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7410-OIEDU,medium,0.4845,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
2273-QCKXA,medium,0.4586,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
0731-EBJQB,low,0.0356,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
1891-QRQSA,low,0.0812,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
8028-PNXHQ,low,0.0112,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
5630-AHZIL,low,0.2901,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2673-CXQEU,low,0.2204,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6416-JNVRK,low,0.0954,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
5590-ZSKRV,low,0.2608,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0191-ZHSKZ,low,0.2767,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
